,SurveyType,SurveyYear,Location,Indicator,Mean_value
33,DHS,1992,Butare,Men with secondary or higher education,4.9
34,DHS,1992,Butare,Neonatal mortality rate,56.0
35,DHS,1992,Butare,Place of delivery: Health facility,31.533333333333335
36,DHS,1992,Butare,Polio 3 vaccination received,87.5
37,DHS,1992,Butare,Population using an improved water source,12.8
38,DHS,1992,Butare,Population with an improved sanitation facility,1.3
39,DHS,1992,Butare,Postneonatal mortality rate,51.0
40,DHS,1992,Butare,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",15.0
41,DHS,1992,Butare,Total fertility rate 15-49,4.8
42,DHS,1992,Butare,Total wanted fertility rate,3.6
43,DHS,1992,Butare,Treatment of diarrhea: Either ORS or RHF,28.35
44,DHS,1992,Butare,Under-five mortality rate,192.0
45,DHS,1992,Butare,Unmet need for family planning,41.1
46,DHS,1992,Butare,Women who want no more children,33.55714285714286
47,DHS,1992,Butare,Women with no education,30.9
48,DHS,1992,Butare,Women with secondary or higher education,9.4
49,DHS,1992,Butare/Gitarama,Antenatal care from a skilled provider,93.60000000000001
50,DHS,1992,Butare/Gitarama,Antenatal visits for pregnancy: 4+ visits,11.466666666666667
51,DHS,1992,Butare/Gitarama,Assistance during delivery from a skilled provider,34.2
52,DHS,1992,Butare/Gitarama,BCG vaccination received,96.6
53,DHS,1992,Butare/Gitarama,Child mortality rate,70.0
54,DHS,1992,Butare/Gitarama,Children stunted,55.6
55,DHS,1992,Butare/Gitarama,Children underweight,27.0
56,DHS,1992,Butare/Gitarama,Children wasted,4.0
57,DHS,1992,Butare/Gitarama,Children with ARI for whom advice or treatment was sought,41.400000000000006
58,DHS,1992,Butare/Gitarama,Children with diarrhea,24.35
59,DHS,1992,Butare/Gitarama,Children with fever for whom advice or treatment was sought,42.65
60,DHS,1992,Butare/Gitarama,Children with fever in the last two weeks,46.05
61,DHS,1992,Butare/Gitarama,Children with symptoms of ARI,33.55
62,DHS,1992,Butare/Gitarama,DPT 3 vaccination received,89.2
63,DHS,1992,Butare/Gitarama,Delivery by cesarean section,2.033333333333333
64,DHS,1992,Butare/Gitarama,Demand for family planning satisfied,32.4
65,DHS,1992,Butare/Gitarama,Demand for family planning satisfied by modern methods,15.7
66,DHS,1992,Butare/Gitarama,Fully vaccinated (8 basic antigens),88.1
67,DHS,1992,Butare/Gitarama,General fertility rate,167.0
68,DHS,1992,Butare/Gitarama,Households with electricity,1.6
69,DHS,1992,Butare/Gitarama,Infant mortality rate,98.0
70,DHS,1992,Butare/Gitarama,Married women currently using any method of contraception,19.3
71,DHS,1992,Butare/Gitarama,Married women currently using any modern method of contraception,9.3
72,DHS,1992,Butare/Gitarama,Mean ideal number of children for all women,4.1
73,DHS,1992,Butare/Gitarama,Measles vaccination received,92.6
74,DHS,1992,Butare/Gitarama,Median age at first birth for women age 25-49,21.7
75,DHS,1992,Butare/Gitarama,"Median age at first marriage [Men]: 25-49(54,59)",23.7
76,DHS,1992,Butare/Gitarama,Median age at first marriage [Women]: 25-49,20.4
77,DHS,1992,Butare/Gitarama,Median age at first sexual intercourse [Women]: 25-49,20.2
78,DHS,1992,Butare/Gitarama,Median duration of any breastfeeding,31.0
79,DHS,1992,Butare/Gitarama,Median duration of exclusive breastfeeding,6.0
80,DHS,1992,Butare/Gitarama,Median duration of predominant breastfeeding,6.0
81,DHS,1992,Butare/Gitarama,Men with no education,19.1
82,DHS,1992,Butare/Gitarama,Men with secondary or higher education,6.6
83,DHS,1992,Butare/Gitarama,Neonatal mortality rate,52.0
84,DHS,1992,Butare/Gitarama,Place of delivery: Health facility,33.73333333333333
85,DHS,1992,Butare/Gitarama,Polio 3 vaccination received,89.2
86,DHS,1992,Butare/Gitarama,Population using an improved water source,10.0
87,DHS,1992,Butare/Gitarama,Population with an improved sanitation facility,0.9
88,DHS,1992,Butare/Gitarama,Postneonatal mortality rate,46.0
89,DHS,1992,Butare/Gitarama,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",12.1
90,DHS,1992,Butare/Gitarama,Total fertility rate 15-49,5.2
91,DHS,1992,Butare/Gitarama,Total wanted fertility rate,3.6
92,DHS,1992,Butare/Gitarama,Treatment of diarrhea: Either ORS or RHF,31.549999999999997
93,DHS,1992,Butare/Gitarama,Under-five mortality rate,161.0
94,DHS,1992,Butare/Gitarama,Unmet need for family planning,40.3
95,DHS,1992,Butare/Gitarama,Women who want no more children,32.962500000000006
96,DHS,1992,Butare/Gitarama,Women with no education,29.4
97,DHS,1992,Butare/Gitarama,Women with secondary or higher education,9.1
98,DHS,1992,Byumba,Antenatal care from a skilled provider,94.5
99,DHS,1992,Byumba,Antenatal visits for pregnancy: 4+ visits,10.533333333333333
100,DHS,1992,Byumba,Assistance during delivery from a skilled provider,23.900000000000002
101,DHS,1992,Byumba,BCG vaccination received,97.4
102,DHS,1992,Byumba,Child mortality rate,108.0
103,DHS,1992,Byumba,Children stunted,66.1
104,DHS,1992,Byumba,Children underweight,31.3
105,DHS,1992,Byumba,Children wasted,5.5
106,DHS,1992,Byumba,Children with ARI for whom advice or treatment was sought,43.45
107,DHS,1992,Byumba,Children with diarrhea,32.3
108,DHS,1992,Byumba,Children with fever for whom advice or treatment was sought,44.05
109,DHS,1992,Byumba,Children with fever in the last two weeks,44.3
110,DHS,1992,Byumba,Children with symptoms of ARI,28.25
111,DHS,1992,Byumba,DPT 3 vaccination received,93.4
112,DHS,1992,Byumba,Delivery by cesarean section,1.8333333333333333
113,DHS,1992,Byumba,Demand for family planning satisfied,45.1
114,DHS,1992,Byumba,Demand for family planning satisfied by modern methods,32.1
115,DHS,1992,Byumba,Fully vaccinated (8 basic antigens),87.7
116,DHS,1992,Byumba,General fertility rate,206.0
117,DHS,1992,Byumba,Households with electricity,0.9
118,DHS,1992,Byumba,Infant mortality rate,101.0
119,DHS,1992,Byumba,Married women currently using any method of contraception,25.4
120,DHS,1992,Byumba,Married women currently using any modern method of contraception,18.0
121,DHS,1992,Byumba,Mean ideal number of children for all women,3.9
122,DHS,1992,Byumba,Measles vaccination received,93.0
123,DHS,1992,Byumba,Median age at first birth for women age 25-49,21.3
124,DHS,1992,Byumba,"Median age at first marriage [Men]: 25-49(54,59)",23.6
125,DHS,1992,Byumba,Median age at first marriage [Women]: 25-49,20.1
126,DHS,1992,Byumba,Median age at first sexual intercourse [Women]: 25-49,19.5
127,DHS,1992,Byumba,Median duration of any breastfeeding,27.2
128,DHS,1992,Byumba,Median duration of exclusive breastfeeding,5.5
129,DHS,1992,Byumba,Median duration of predominant breastfeeding,5.5
130,DHS,1992,Byumba,Men with no education,25.7
131,DHS,1992,Byumba,Men with secondary or higher education,8.0
132,DHS,1992,Byumba,Neonatal mortality rate,52.0
133,DHS,1992,Byumba,Place of delivery: Health facility,23.866666666666664
134,DHS,1992,Byumba,Polio 3 vaccination received,93.4
135,DHS,1992,Byumba,Population using an improved water source,29.0
136,DHS,1992,Byumba,Population with an improved sanitation facility,0.2
137,DHS,1992,Byumba,Postneonatal mortality rate,49.0
138,DHS,1992,Byumba,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",11.6
139,DHS,1992,Byumba,Total fertility rate 15-49,6.2
140,DHS,1992,Byumba,Total wanted fertility rate,4.3
141,DHS,1992,Byumba,Treatment of diarrhea: Either ORS or RHF,35.6
142,DHS,1992,Byumba,Under-five mortality rate,198.0
143,DHS,1992,Byumba,Unmet need for family planning,30.9
144,DHS,1992,Byumba,Women who want no more children,42.385714285714286
145,DHS,1992,Byumba,Women with no education,38.0
146,DHS,1992,Byumba,Women with secondary or higher education,6.6
147,DHS,1992,Byumba/Kibungo,Antenatal care from a skilled provider,94.26666666666667
148,DHS,1992,Byumba/Kibungo,Antenatal visits for pregnancy: 4+ visits,8.666666666666666
149,DHS,1992,Byumba/Kibungo,Assistance during delivery from a skilled provider,18.533333333333335
150,DHS,1992,Byumba/Kibungo,BCG vaccination received,95.9
151,DHS,1992,Byumba/Kibungo,Child mortality rate,101.0
152,DHS,1992,Byumba/Kibungo,Children stunted,61.8
153,DHS,1992,Byumba/Kibungo,Children underweight,27.6
154,DHS,1992,Byumba/Kibungo,Children wasted,6.8
155,DHS,1992,Byumba/Kibungo,Children with ARI for whom advice or treatment was sought,43.7
156,DHS,1992,Byumba/Kibungo,Children with diarrhea,30.65
157,DHS,1992,Byumba/Kibungo,Children with fever for whom advice or treatment was sought,42.8
158,DHS,1992,Byumba/Kibungo,Children with fever in the last two weeks,47.75
159,DHS,1992,Byumba/Kibungo,Children with symptoms of ARI,29.549999999999997
160,DHS,1992,Byumba/Kibungo,DPT 3 vaccination received,88.6
161,DHS,1992,Byumba/Kibungo,Delivery by cesarean section,1.8333333333333333
162,DHS,1992,Byumba/Kibungo,Demand for family planning satisfied,35.1
163,DHS,1992,Byumba/Kibungo,Demand for family planning satisfied by modern methods,25.1
164,DHS,1992,Byumba/Kibungo,Fully vaccinated (8 basic antigens),82.6
165,DHS,1992,Byumba/Kibungo,General fertility rate,217.0
166,DHS,1992,Byumba/Kibungo,Households with electricity,0.4
167,DHS,1992,Byumba/Kibungo,Infant mortality rate,105.0
168,DHS,1992,Byumba/Kibungo,Married women currently using any method of contraception,19.4
169,DHS,1992,Byumba/Kibungo,Married women currently using any modern method of contraception,13.9
170,DHS,1992,Byumba/Kibungo,Mean ideal number of children for all women,4.1
171,DHS,1992,Byumba/Kibungo,Measles vaccination received,88.0
172,DHS,1992,Byumba/Kibungo,Median age at first birth for women age 25-49,21.2
173,DHS,1992,Byumba/Kibungo,"Median age at first marriage [Men]: 25-49(54,59)",23.7
174,DHS,1992,Byumba/Kibungo,Median age at first marriage [Women]: 25-49,19.8
175,DHS,1992,Byumba/Kibungo,Median age at first sexual intercourse [Women]: 25-49,19.3
176,DHS,1992,Byumba/Kibungo,Median duration of any breastfeeding,25.5
177,DHS,1992,Byumba/Kibungo,Median duration of exclusive breastfeeding,5.4
178,DHS,1992,Byumba/Kibungo,Median duration of predominant breastfeeding,5.5
179,DHS,1992,Byumba/Kibungo,Men with no education,29.8
180,DHS,1992,Byumba/Kibungo,Men with secondary or higher education,5.9
181,DHS,1992,Byumba/Kibungo,Neonatal mortality rate,52.0
182,DHS,1992,Byumba/Kibungo,Place of delivery: Health facility,18.3
183,DHS,1992,Byumba/Kibungo,Polio 3 vaccination received,88.6
184,DHS,1992,Byumba/Kibungo,Population using an improved water source,19.7
185,DHS,1992,Byumba/Kibungo,Population with an improved sanitation facility,0.3
186,DHS,1992,Byumba/Kibungo,Postneonatal mortality rate,53.0
187,DHS,1992,Byumba/Kibungo,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",9.2
188,DHS,1992,Byumba/Kibungo,Total fertility rate 15-49,6.4
189,DHS,1992,Byumba/Kibungo,Total wanted fertility rate,4.5
190,DHS,1992,Byumba/Kibungo,Treatment of diarrhea: Either ORS or RHF,37.45
191,DHS,1992,Byumba/Kibungo,Under-five mortality rate,195.0
192,DHS,1992,Byumba/Kibungo,Unmet need for family planning,35.9
193,DHS,1992,Byumba/Kibungo,Women who want no more children,33.587500000000006
194,DHS,1992,Byumba/Kibungo,Women with no education,39.9
195,DHS,1992,Byumba/Kibungo,Women with secondary or higher education,5.3
196,DHS,1992,Cyangugu,Antenatal care from a skilled provider,90.93333333333334
197,DHS,1992,Cyangugu,Antenatal visits for pregnancy: 4+ visits,14.366666666666667
198,DHS,1992,Cyangugu,Assistance during delivery from a skilled provider,18.96666666666667
199,DHS,1992,Cyangugu,BCG vaccination received,97.3
200,DHS,1992,Cyangugu,Child mortality rate,73.0
201,DHS,1992,Cyangugu,Children stunted,55.5
202,DHS,1992,Cyangugu,Children underweight,18.0
203,DHS,1992,Cyangugu,Children wasted,2.0
204,DHS,1992,Cyangugu,Children with ARI for whom advice or treatment was sought,43.8
205,DHS,1992,Cyangugu,Children with diarrhea,20.35
206,DHS,1992,Cyangugu,Children with fever for whom advice or treatment was sought,46.05
207,DHS,1992,Cyangugu,Children with fever in the last two weeks,47.15
208,DHS,1992,Cyangugu,Children with symptoms of ARI,43.85
209,DHS,1992,Cyangugu,DPT 3 vaccination received,90.6
210,DHS,1992,Cyangugu,Delivery by cesarean section,1.866666666666667
211,DHS,1992,Cyangugu,Demand for family planning satisfied,28.2
212,DHS,1992,Cyangugu,Demand for family planning satisfied by modern methods,16.6
213,DHS,1992,Cyangugu,Fully vaccinated (8 basic antigens),86.5
214,DHS,1992,Cyangugu,General fertility rate,225.0
215,DHS,1992,Cyangugu,Households with electricity,0.2
216,DHS,1992,Cyangugu,Infant mortality rate,78.0
217,DHS,1992,Cyangugu,Married women currently using any method of contraception,16.2
218,DHS,1992,Cyangugu,Married women currently using any modern method of contraception,9.5
219,DHS,1992,Cyangugu,Mean ideal number of children for all women,4.9
220,DHS,1992,Cyangugu,Measles vaccination received,89.2
221,DHS,1992,Cyangugu,Median age at first birth for women age 25-49,20.8
222,DHS,1992,Cyangugu,"Median age at first marriage [Men]: 25-49(54,59)",23.4
223,DHS,1992,Cyangugu,Median age at first marriage [Women]: 25-49,19.2
224,DHS,1992,Cyangugu,Median age at first sexual intercourse [Women]: 25-49,18.7
225,DHS,1992,Cyangugu,Median duration of any breastfeeding,27.1
226,DHS,1992,Cyangugu,Median duration of exclusive breastfeeding,4.1
227,DHS,1992,Cyangugu,Median duration of predominant breastfeeding,6.8
228,DHS,1992,Cyangugu,Men with no education,28.3
229,DHS,1992,Cyangugu,Men with secondary or higher education,0.0
230,DHS,1992,Cyangugu,Neonatal mortality rate,43.0
231,DHS,1992,Cyangugu,Place of delivery: Health facility,18.96666666666667
232,DHS,1992,Cyangugu,Polio 3 vaccination received,90.6
233,DHS,1992,Cyangugu,Population using an improved water source,21.4
234,DHS,1992,Cyangugu,Population with an improved sanitation facility,0.9
235,DHS,1992,Cyangugu,Postneonatal mortality rate,35.0
236,DHS,1992,Cyangugu,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",7.7
237,DHS,1992,Cyangugu,Total fertility rate 15-49,7.5
238,DHS,1992,Cyangugu,Total wanted fertility rate,4.8
239,DHS,1992,Cyangugu,Treatment of diarrhea: Either ORS or RHF,42.8
240,DHS,1992,Cyangugu,Under-five mortality rate,145.0
241,DHS,1992,Cyangugu,Unmet need for family planning,41.3
242,DHS,1992,Cyangugu,Women who want no more children,31.099999999999998
243,DHS,1992,Cyangugu,Women with no education,38.5
244,DHS,1992,Cyangugu,Women with secondary or higher education,5.0
245,DHS,1992,Cyangugu/Ginkongoro,Antenatal care from a skilled provider,93.5
246,DHS,1992,Cyangugu/Ginkongoro,Antenatal visits for pregnancy: 4+ visits,18.133333333333333
247,DHS,1992,Cyangugu/Ginkongoro,Assistance during delivery from a skilled provider,19.7
248,DHS,1992,Cyangugu/Ginkongoro,BCG vaccination received,98.5
249,DHS,1992,Cyangugu/Ginkongoro,Child mortality rate,76.0
250,DHS,1992,Cyangugu/Ginkongoro,Children stunted,59.9
251,DHS,1992,Cyangugu/Ginkongoro,Children underweight,20.6
252,DHS,1992,Cyangugu/Ginkongoro,Children wasted,2.5
253,DHS,1992,Cyangugu/Ginkongoro,Children with ARI for whom advice or treatment was sought,40.65
254,DHS,1992,Cyangugu/Ginkongoro,Children with diarrhea,20.6
255,DHS,1992,Cyangugu/Ginkongoro,Children with fever for whom advice or treatment was sought,43.7
256,DHS,1992,Cyangugu/Ginkongoro,Children with fever in the last two weeks,47.55
257,DHS,1992,Cyangugu/Ginkongoro,Children with symptoms of ARI,46.3
258,DHS,1992,Cyangugu/Ginkongoro,DPT 3 vaccination received,93.2
259,DHS,1992,Cyangugu/Ginkongoro,Delivery by cesarean section,2.1666666666666665
260,DHS,1992,Cyangugu/Ginkongoro,Demand for family planning satisfied,37.6
261,DHS,1992,Cyangugu/Ginkongoro,Demand for family planning satisfied by modern methods,23.4
262,DHS,1992,Cyangugu/Ginkongoro,Fully vaccinated (8 basic antigens),90.1
263,DHS,1992,Cyangugu/Ginkongoro,General fertility rate,200.0
264,DHS,1992,Cyangugu/Ginkongoro,Households with electricity,0.6
265,DHS,1992,Cyangugu/Ginkongoro,Infant mortality rate,84.0
266,DHS,1992,Cyangugu/Ginkongoro,Married women currently using any method of contraception,20.8
267,DHS,1992,Cyangugu/Ginkongoro,Married women currently using any modern method of contraception,12.9
268,DHS,1992,Cyangugu/Ginkongoro,Mean ideal number of children for all women,4.6
269,DHS,1992,Cyangugu/Ginkongoro,Measles vaccination received,93.2
270,DHS,1992,Cyangugu/Ginkongoro,Median age at first birth for women age 25-49,21.7
271,DHS,1992,Cyangugu/Ginkongoro,"Median age at first marriage [Men]: 25-49(54,59)",24.0
272,DHS,1992,Cyangugu/Ginkongoro,Median age at first marriage [Women]: 25-49,20.2
273,DHS,1992,Cyangugu/Ginkongoro,Median age at first sexual intercourse [Women]: 25-49,19.6
274,DHS,1992,Cyangugu/Ginkongoro,Median duration of any breastfeeding,26.5
275,DHS,1992,Cyangugu/Ginkongoro,Median duration of exclusive breastfeeding,5.1
276,DHS,1992,Cyangugu/Ginkongoro,Median duration of predominant breastfeeding,5.9
277,DHS,1992,Cyangugu/Ginkongoro,Men with no education,26.2
278,DHS,1992,Cyangugu/Ginkongoro,Men with secondary or higher education,3.6
279,DHS,1992,Cyangugu/Ginkongoro,Neonatal mortality rate,54.0
280,DHS,1992,Cyangugu/Ginkongoro,Place of delivery: Health facility,20.0
281,DHS,1992,Cyangugu/Ginkongoro,Polio 3 vaccination received,93.2
282,DHS,1992,Cyangugu/Ginkongoro,Population using an improved water source,19.3
283,DHS,1992,Cyangugu/Ginkongoro,Population with an improved sanitation facility,0.7
284,DHS,1992,Cyangugu/Ginkongoro,Postneonatal mortality rate,30.0
285,DHS,1992,Cyangugu/Ginkongoro,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",8.6
286,DHS,1992,Cyangugu/Ginkongoro,Total fertility rate 15-49,6.5
287,DHS,1992,Cyangugu/Ginkongoro,Total wanted fertility rate,4.5
288,DHS,1992,Cyangugu/Ginkongoro,Treatment of diarrhea: Either ORS or RHF,35.1
289,DHS,1992,Cyangugu/Ginkongoro,Under-five mortality rate,154.0
290,DHS,1992,Cyangugu/Ginkongoro,Unmet need for family planning,34.6
291,DHS,1992,Cyangugu/Ginkongoro,Women who want no more children,28.65
292,DHS,1992,Cyangugu/Ginkongoro,Women with no education,38.9
293,DHS,1992,Cyangugu/Ginkongoro,Women with secondary or higher education,6.5
294,DHS,1992,Gikongoro,Antenatal care from a skilled provider,96.2
295,DHS,1992,Gikongoro,Antenatal visits for pregnancy: 4+ visits,22.2
296,DHS,1992,Gikongoro,Assistance during delivery from a skilled provider,20.5
297,DHS,1992,Gikongoro,BCG vaccination received,100.0
298,DHS,1992,Gikongoro,Child mortality rate,81.0
299,DHS,1992,Gikongoro,Children stunted,64.5
300,DHS,1992,Gikongoro,Children underweight,23.3
301,DHS,1992,Gikongoro,Children wasted,3.1
302,DHS,1992,Gikongoro,Children with ARI for whom advice or treatment was sought,37.400000000000006
303,DHS,1992,Gikongoro,Children with diarrhea,21.0
304,DHS,1992,Gikongoro,Children with fever for whom advice or treatment was sought,40.9
305,DHS,1992,Gikongoro,Children with fever in the last two weeks,48.1
306,DHS,1992,Gikongoro,Children with symptoms of ARI,49.25
307,DHS,1992,Gikongoro,DPT 3 vaccination received,96.5
308,DHS,1992,Gikongoro,Delivery by cesarean section,2.566666666666667
309,DHS,1992,Gikongoro,Demand for family planning satisfied,47.6
310,DHS,1992,Gikongoro,Demand for family planning satisfied by modern methods,30.5
311,DHS,1992,Gikongoro,Fully vaccinated (8 basic antigens),94.8
312,DHS,1992,Gikongoro,General fertility rate,177.0
313,DHS,1992,Gikongoro,Households with electricity,0.9
314,DHS,1992,Gikongoro,Infant mortality rate,92.0
315,DHS,1992,Gikongoro,Married women currently using any method of contraception,25.4
316,DHS,1992,Gikongoro,Married women currently using any modern method of contraception,16.3
317,DHS,1992,Gikongoro,Mean ideal number of children for all women,4.3
318,DHS,1992,Gikongoro,Measles vaccination received,98.3
319,DHS,1992,Gikongoro,Median age at first birth for women age 25-49,22.7
320,DHS,1992,Gikongoro,"Median age at first marriage [Men]: 25-49(54,59)",24.6
321,DHS,1992,Gikongoro,Median age at first marriage [Women]: 25-49,21.3
322,DHS,1992,Gikongoro,Median age at first sexual intercourse [Women]: 25-49,20.4
323,DHS,1992,Gikongoro,Median duration of any breastfeeding,26.1
324,DHS,1992,Gikongoro,Median duration of exclusive breastfeeding,5.4
325,DHS,1992,Gikongoro,Median duration of predominant breastfeeding,5.4
326,DHS,1992,Gikongoro,Men with no education,23.6
327,DHS,1992,Gikongoro,Men with secondary or higher education,7.9
328,DHS,1992,Gikongoro,Neonatal mortality rate,66.0
329,DHS,1992,Gikongoro,Place of delivery: Health facility,21.2
330,DHS,1992,Gikongoro,Polio 3 vaccination received,96.5
331,DHS,1992,Gikongoro,Population using an improved water source,17.2
332,DHS,1992,Gikongoro,Population with an improved sanitation facility,0.6
333,DHS,1992,Gikongoro,Postneonatal mortality rate,26.0
334,DHS,1992,Gikongoro,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",9.6
335,DHS,1992,Gikongoro,Total fertility rate 15-49,5.7
336,DHS,1992,Gikongoro,Total wanted fertility rate,4.2
337,DHS,1992,Gikongoro,Treatment of diarrhea: Either ORS or RHF,26.200000000000003
338,DHS,1992,Gikongoro,Under-five mortality rate,165.0
339,DHS,1992,Gikongoro,Unmet need for family planning,28.0
340,DHS,1992,Gikongoro,Women who want no more children,34.1
341,DHS,1992,Gikongoro,Women with no education,39.3
342,DHS,1992,Gikongoro,Women with secondary or higher education,7.9
343,DHS,1992,Gisenyi,Antenatal care from a skilled provider,96.76666666666667
344,DHS,1992,Gisenyi,Antenatal visits for pregnancy: 4+ visits,5.933333333333334
345,DHS,1992,Gisenyi,Assistance during delivery from a skilled provider,19.866666666666664
346,DHS,1992,Gisenyi,BCG vaccination received,93.9
347,DHS,1992,Gisenyi,Child mortality rate,92.0
348,DHS,1992,Gisenyi,Children stunted,61.6
349,DHS,1992,Gisenyi,Children underweight,20.8
350,DHS,1992,Gisenyi,Children wasted,2.3
351,DHS,1992,Gisenyi,Children with ARI for whom advice or treatment was sought,43.3
352,DHS,1992,Gisenyi,Children with diarrhea,26.85
353,DHS,1992,Gisenyi,Children with fever for whom advice or treatment was sought,42.099999999999994
354,DHS,1992,Gisenyi,Children with fever in the last two weeks,42.5
355,DHS,1992,Gisenyi,Children with symptoms of ARI,28.95
356,DHS,1992,Gisenyi,DPT 3 vaccination received,92.9
357,DHS,1992,Gisenyi,Delivery by cesarean section,1.0333333333333334
358,DHS,1992,Gisenyi,Demand for family planning satisfied,34.1
359,DHS,1992,Gisenyi,Demand for family planning satisfied by modern methods,21.1
360,DHS,1992,Gisenyi,Fully vaccinated (8 basic antigens),82.8
361,DHS,1992,Gisenyi,General fertility rate,248.0
362,DHS,1992,Gisenyi,Households with electricity,1.3
363,DHS,1992,Gisenyi,Infant mortality rate,96.0
364,DHS,1992,Gisenyi,Married women currently using any method of contraception,20.6
365,DHS,1992,Gisenyi,Married women currently using any modern method of contraception,12.8
366,DHS,1992,Gisenyi,Mean ideal number of children for all women,4.6
367,DHS,1992,Gisenyi,Measles vaccination received,84.8
368,DHS,1992,Gisenyi,Median age at first birth for women age 25-49,21.1
369,DHS,1992,Gisenyi,"Median age at first marriage [Men]: 25-49(54,59)",21.3
370,DHS,1992,Gisenyi,Median age at first marriage [Women]: 25-49,19.5
371,DHS,1992,Gisenyi,Median age at first sexual intercourse [Women]: 25-49,19.5
372,DHS,1992,Gisenyi,Median duration of any breastfeeding,27.0
373,DHS,1992,Gisenyi,Median duration of exclusive breastfeeding,5.8
374,DHS,1992,Gisenyi,Median duration of predominant breastfeeding,6.4
375,DHS,1992,Gisenyi,Men with no education,30.0
376,DHS,1992,Gisenyi,Men with secondary or higher education,6.8
377,DHS,1992,Gisenyi,Neonatal mortality rate,47.0
378,DHS,1992,Gisenyi,Place of delivery: Health facility,19.8
379,DHS,1992,Gisenyi,Polio 3 vaccination received,92.9
380,DHS,1992,Gisenyi,Population using an improved water source,32.3
381,DHS,1992,Gisenyi,Population with an improved sanitation facility,1.0
382,DHS,1992,Gisenyi,Postneonatal mortality rate,50.0
383,DHS,1992,Gisenyi,"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",5.5
384,DHS,1992,Gisenyi,Total fertility rate 15-49,7.8
385,DHS,1992,Gisenyi,Total wanted fertility rate,5.5
386,DHS,1992,Gisenyi,Treatment of diarrhea: Either ORS or RHF,41.650000000000006
387,DHS,1992,Gisenyi,Under-five mortality rate,179.0
388,DHS,1992,Gisenyi,Unmet need for family planning,39.9
389,DHS,1992,Gisenyi,Women who want no more children,31.142857142857142
390,DHS,1992,Gisenyi,Women with no education,50.3
391,DHS,1992,Gisenyi,Women with secondary or higher education,4.2
392,DHS,1992,Gitarama,Antenatal care from a skilled provider,96.66666666666667
393,DHS,1992,Gitarama,Antenatal visits for pregnancy: 4+ visits,10.566666666666666
394,DHS,1992,Gitarama,Assistance during delivery from a skilled provider,36.46666666666666
395,DHS,1992,Gitarama,BCG vaccination received,98.1
396,DHS,1992,Gitarama,Child mortality rate,50.0
397,DHS,1992,Gitarama,Children stunted,53.0
398,DHS,1992,Gitarama,Children underweight,21.7
399,DHS,1992,Gitarama,Children wasted,4.1
400,DHS,1992,Gitarama,Children with ARI for whom advice or treatment was sought,38.5
401,DHS,1992,Gitarama,Children with diarrhea,23.1
402,DHS,1992,Gitarama,Children with fever for whom advice or treatment was sought,42.85
403,DHS,1992,Gitarama,Children with fever in the last two weeks,42.5
